_id;dateTime;type;sessionId;sessionDesc;sessionCond;isUndo
aE4k4chKXn33eXNYC;1493742769089;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
j5e87xDTonqC2WTPk;1493742778037;Students present;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
mWCen4KMR2He2v2zN;1493742778229;Students present;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
i2mwjgkzzqpBc3Mha;1493742778425;Students present;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
PtwP8YJYBR5NkJpyY;1493742778629;Students present;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
vptaHZboQPGKGNEsZ;1493742778825;Students present;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
ELt6n5tMiX7PYopH3;1493742779005;Students present;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
mBgTEhwqXAbdWCZSA;1493742779013;Students present;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
gre2QN7vTCHiqsLW9;1493742779181;Students present;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
8hwjq6YjYSjF5geQS;1493742779565;Students present;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
zPAwdKPFBQcaEni7z;1493742779569;Students present;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
consYdcitBuc8Lfzo;1493742779745;Students present;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
zaoTjQvqAbd2LiMpg;1493742779989;Students present;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
njhBtfn34RZ9LSTXd;1493742811122;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
reSDajfYXRDcLbWkj;1493742816472;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
G66oehDAGef7TCEWq;1493742886394;Students present;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
ZJQATxEQqojtymRpE;1493743146865;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
ZnDdMv6ASCGJwZcxo;1493743148604;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
7vaNGgbz6EB7Ffb8L;1493743161126;Students present;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
SBoBF45SNxTC9Jjjg;1493743258021;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
3T7sxAFubgjipTbGr;1493743258601;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
r5z5J77khsTWLunoz;1493743341551;Students present;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
AftqzpgHLzJySsAcr;1493743365710;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
naPQiwyTwhTvHdYuZ;1493743365996;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
zvYi2v8ueruwdrd7o;1493743366000;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
vrxGcWDACtbhj4KfB;1493743366412;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
tc8Pjp6R9dfYr2gmL;1493743373429;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
948aNbZbne3hmz5ys;1493743374370;Meaningless TA Question;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
ReFgnJQD25eJCiarW;1493743375329;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
WiRQXpS9qvqDcQQk5;1493743377495;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
PyJuFMMXRmvisBkwE;1493743378221;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
xCdCzrbFXS9qmzNH8;1493743379339;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
r3uAJmQT8EpbCq52H;1493743380184;Meaningless TA Question;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
MnxNWd7zTeYxHcHAX;1493743382006;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
trAgDgK64xboSbuYA;1493743397195;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
LkYjwuiFRY83NcCLi;1493743398152;Not bad TA Question;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
3eCBD8Dz6asRYenbQ;1493743402196;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
fSCrWCEjd82hMCsHC;1493743406372;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
tQZ3DJLPWv5tuucZE;1493743408471;Not bad TA Question;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
Fz6mbss2AQH5T9F5P;1493743409614;student begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
yEtHd93iExDWkcabW;1493743411430;student end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
pKYPDcEcpCmY8BSjY;1493743411735;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
JiWf7DyM5gxmTzsmD;1493743415426;First time student talks;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
BsJvgvva5533CGSss;1493743416818;Hand raised;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
hntnBzP35pKcXuqnm;1493743486208;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
DTJDkn9iJL7gdK3hj;1493743486936;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
ujykKJhxkgRG7tu7K;1493743545571;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
oFgr4MrvRBE7833cz;1493743547481;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
uHp5v4NESqYrFhx4e;1493743547869;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
DLj93m9HHau4mqv4p;1493743548993;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
zffapkbvkvaa3Dq8o;1493743549213;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
cswK9Z2B2XdZ8uEQv;1493743549217;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
8kbdjzGzzD7o62Ho9;1493743549217;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
8DvhPG2JqLMPe2jcn;1493743549767;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
xeNKibhpjqyiWSoiZ;1493743558976;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
aFxstw49TQogALchA;1493743559683;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
ohzWqqbYHPKqDpM5M;1493743562976;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
um9FpbnYksTkCzXpJ;1493743563663;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
GEYuXRTNHEX4De8oe;1493743563964;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
Dcceb87jPdiZNNJLw;1493743564104;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
qSr9Qsf9tDCspBhqc;1493743566472;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
sawPSn393y45vseyi;1493743566784;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
nR2Zu9JLbQkTXjm9g;1493743573464;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
wP4D8QL7AuRL8ph4n;1493743574140;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
8dYtfZ6bJSeieJLLT;1493743592568;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
9pnxTnMqYy44wkams;1493743593578;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
qczdnXTaham34nHcd;1493743627788;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
TLNBHz3JLGTHpgsoS;1493743628230;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
cLWLnw9MS8jEKbLxT;1493743729301;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
vCmbJSL7KjswiE3n9;1493743730621;Meaningless TA Question;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
F267F7z5Dt56cLWXP;1493743748965;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
4ib7QP39i7CdcyM8f;1493743839794;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
jaTEDdfHetqAMRgSz;1493743853543;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
CD5wnyk9kRe89Mvqt;1493743884182;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
7WgtrmiAEENhNWjxQ;1493743885957;Meaningless TA Question;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
Ps84mhP9LGuEsKYfF;1493743888799;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
JM5PzGf5ALChGaptk;1493743889637;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
R9KwDHCp3sNr3cQfw;1493743891646;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
upu4KiufEy542zX6j;1493743925064;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
AhqN8qukpffajuiYS;1493743925307;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
3Xm6BtzcKdXR2uF8b;1493743941352;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
TvoB5MBcQE95YtKMP;1493743941564;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
qc5x6gPhKn8JKeAme;1493743945239;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
Y9geqa5rjrw5Ae2ZY;1493743945617;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
vf8s89paQTiByumqR;1493743996571;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
iGxC5i7tEEtP9oJGY;1493743997199;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
YaJ3p5e8weSzXNdX9;1493744063979;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
NRzrQwAsMTkA3gAjR;1493744066438;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
DH2LmjJ7gS7PoTtmR;1493744139822;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
o2mzRzxsomDAxB5po;1493744141726;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
vYadwXjux9Mg7s3Zs;1493744146544;teacher end talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
YsBHao7FLqNSqb39o;1493744147094;teacher begin talking;Qw6jX9LMXyFNfBcxY;12:30 18202;2;false
